GEOID	NAME	UATYPE	ALAND	AWATER	ALAND_SQMI	AWATER_SQMI	INTPTLAT	INTPTLONG                                                                                                                      
85168	Story City, IA Urban Cluster	C	3785673	5179	       1.462	       0.002	 42.188369	 -93.587194                                                                                                      
85195	Strasburg, VA Urban Cluster	C	9817027	92396	       3.790	       0.036	 38.993908	 -78.356509                                                                                                      
85208	Strawberry Plains, TN Urban Cluster	C	14419809	79901	       5.568	       0.031	 36.040939	 -83.647599                                                                                             
85222	Streator, IL Urban Cluster	C	21772814	0	       8.407	       0.000	 41.123445	 -88.833822                                                                                                          
85249	Stuarts Draft, VA Urban Cluster	C	22993185	354955	       8.878	       0.137	 38.023660	 -79.023178                                                                                                
85276	Sturgeon Bay, WI Urban Cluster	C	14272085	4707120	       5.510	       1.817	 44.833291	 -87.374562                                                                                                
85303	Sturgis, MI Urban Cluster	C	24750074	182	       9.556	       0.000	 41.795368	 -85.419719                                                                                                         
85330	Sturgis, SD Urban Cluster	C	9596680	0	       3.705	       0.000	 44.408776	-103.518298                                                                                                            
85357	Stuttgart, AR Urban Cluster	C	13300995	0	       5.136	       0.000	 34.493445	 -91.550682                                                                                                         
85390	Sugarmill Woods, FL Urban Cluster	C	27145310	0	      10.481	       0.000	 28.724451	 -82.534294                                                                                                   
85411	Sullivan, IL Urban Cluster	C	8254927	10770	       3.187	       0.004	 39.591562	 -88.606845                                                                                                       
85438	Sullivan, IN Urban Cluster	C	5733376	0	       2.214	       0.000	 39.098674	 -87.406948                                                                                                           
85465	Sullivan, MO Urban Cluster	C	18316684	0	       7.072	       0.000	 38.196375	 -91.190232                                                                                                          
85492	Sullivan City, TX Urban Cluster	C	9028216	0	       3.486	       0.000	 26.280380	 -98.562294                                                                                                      
85519	Sulphur, OK Urban Cluster	C	9583883	133634	       3.700	       0.052	 34.507050	 -96.975343                                                                                                       
85546	Sulphur Springs, TX Urban Cluster	C	26322324	522174	      10.163	       0.202	 33.129471	 -95.604118                                                                                              
85573	Sultan, WA Urban Cluster	C	10907361	0	       4.211	       0.000	 47.875300	-121.793179                                                                                                            
85600	Sumiton, AL Urban Cluster	C	17450607	8433	       6.738	       0.003	 33.742587	 -87.042961                                                                                                        
85627	Summersville, WV Urban Cluster	C	7923990	21326	       3.059	       0.008	 38.289199	 -80.847212                                                                                                   
85654	Summerville, GA Urban Cluster	C	24696142	18581	       9.535	       0.007	 34.533981	 -85.315801                                                                                                   
85681	Summit Park, UT Urban Cluster	C	8993793	0	       3.473	       0.000	 40.762101	-111.571066                                                                                                        
85708	Sumter, SC Urbanized Area	U	170152173	1211901	      65.696	       0.468	 33.930690	 -80.399329                                                                                                    
85762	Sunbury, PA Urban Cluster	C	43976637	1050803	      16.979	       0.406	 40.891482	 -76.806194                                                                                                     
85775	Sun City Hilton Head, SC Urban Cluster	C	22671434	0	       8.753	       0.000	 32.287805	 -80.964673                                                                                              
85789	Sunnyside, WA Urban Cluster	C	15263888	0	       5.893	       0.000	 46.318924	-120.010000                                                                                                         
85802	Sunrise Shores, TX Urban Cluster	C	8557826	0	       3.304	       0.000	 32.220354	 -95.497068                                                                                                     
85816	Sunset, LA Urban Cluster	C	8313657	0	       3.210	       0.000	 30.410530	 -92.061815                                                                                                             
85843	Superior, AZ Urban Cluster	C	3272912	0	       1.264	       0.000	 33.286310	-111.104654                                                                                                           
85870	Susanville, CA Urban Cluster	C	13783801	102703	       5.322	       0.040	 40.409559	-120.636967                                                                                                   
85924	Susquehanna Depot, PA Urban Cluster	C	4055885	297322	       1.566	       0.115	 41.949146	 -75.600509                                                                                             
85978	Sutherlin, OR Urban Cluster	C	10077683	131321	       3.891	       0.051	 43.391871	-123.315440                                                                                                    
86005	Swainsboro, GA Urban Cluster	C	23149305	644734	       8.938	       0.249	 32.593900	 -82.332105                                                                                                   
